claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
19673,47,M,1.0,53,83923,0,1,Own,80011,5/8/2015,Friday,Local,0,0.0,50,Broker,1,8020.52,1,Medium,100192.47751196906,white,12325.49515,0
17224,46,F,1.0,90,62666,0,1,Rent,20152,4/22/2016,Friday,Parking Lot,2,1.0,100,Broker,1,0.0,13,Compact,30203.14335634287,other,21249.2847,0
11974,34,F,1.0,89,33337,1,0,Rent,20131,6/16/2015,Tuesday,Local,4,0.0,60,Broker,0,0.0,1,Medium,15000.0,red,20418.65669,0
419,23,M,1.0,62,91385,1,1,Rent,80030,8/2/2015,Sunday,Local,0,0.0,69,Online,1,3849.37,1,Large,44895.04385822643,gray,8576.747176,0
11124,57,F,1.0,88,83116,1,1,Own,50001,1/18/2015,Sunday,Highway,0,0.0,98,Broker,1,0.0,1,Large,15000.0,silver,8777.104216,0
1214,34,M,1.0,91,103597,0,1,Rent,15059,10/14/2015,Wednesday,Local,10,1.0,33,Broker,1,0.0,9,Medium,21118.107210708928,gray,16819.073809999998,0
12431,44,M,1.0,64,60604,1,1,Own,85068,11/7/2016,Monday,Parking Lot,19,0.0,88,Phone,0,0.0,1,Large,36580.63735817265,silver,14633.77049,0
15626,31,M,0.0,86,46061,1,0,Own,20121,9/11/2016,Sunday,Local,5,0.0,83,Broker,0,0.0,8,Large,70686.32661512695,red,22254.32271,0
7161,40,F,1.0,81,124779,1,0,Rent,85071,3/22/2016,Tuesday,Local,0,0.0,97,Broker,0,10575.87,11,Large,15736.407035284592,silver,25426.55061,0
11633,66,M,1.0,78,70593,1,1,Rent,80014,1/19/2015,Monday,Local,18,0.0,49,Online,1,3892.51,1,Compact,15000.0,blue,16194.0599,0
2500,55,F,1.0,57,53823,1,1,Own,80109,8/22/2016,Monday,Local,5,0.0,81,Online,1,0.0,1,Compact,15000.0,other,50159.58494,0
27289,38,M,1.0,77,102835,1,0,Own,80011,9/8/2016,Thursday,Parking Lot,0,0.0,51,Broker,1,1041.65,3,Large,15000.0,blue,11806.88752,0
21953,52,F,1.0,87,111190,1,1,Own,85083,3/7/2016,Monday,Parking Lot,0,0.0,26,Phone,0,0.0,1,Large,15000.0,blue,9727.427358,0
10109,43,F,1.0,66,97677,1,1,Rent,15050,2/17/2015,Tuesday,Parking Lot,0,0.0,45,Phone,1,0.0,9,Large,64401.27926038503,silver,6978.143204999999,0
29857,50,M,1.0,90,48065,1,0,Own,20101,3/26/2016,Saturday,Highway,0,1.0,82,Broker,1,4562.12,1,Large,15000.0,black,11568.43153,0
16904,46,F,1.0,71,68441,1,1,Own,20116,10/20/2016,Thursday,Local,8,0.0,18,Phone,0,0.0,1,Large,15000.0,silver,21686.07371,0
10733,39,F,1.0,88,124193,1,1,Own,20119,4/22/2015,Wednesday,Local,0,0.0,98,Phone,0,0.0,1,Compact,28745.61589134395,white,7695.764341,0
4841,73,F,1.0,71,98053,1,1,Rent,85083,11/6/2015,Friday,Parking Lot,0,0.0,30,Phone,1,0.0,1,Large,15000.0,other,22641.78549,0
2913,69,F,1.0,67,111897,1,0,Rent,80011,1/18/2015,Sunday,Parking Lot,3,0.0,22,Phone,1,943.2,1,Large,29220.92954368563,black,22513.37434,0
17998,54,M,1.0,84,37154,0,1,Rent,20107,7/3/2016,Sunday,Parking Lot,0,0.0,18,Broker,1,0.0,1,Large,15000.0,gray,30535.417610000004,0
6370,43,M,1.0,94,40156,1,1,Own,15001,7/8/2015,Wednesday,Local,7,0.0,42,Broker,1,0.0,7,Large,23802.520611791784,gray,44367.34346,0
1039,46,M,1.0,70,86849,0,0,Own,80047,9/17/2016,Saturday,Local,0,0.0,84,Online,1,5166.43,1,Compact,15000.0,black,19396.73436,0
7932,39,F,0.0,90,70624,1,1,Own,80042,10/7/2015,Wednesday,Highway,0,1.0,5,Broker,1,0.0,3,Medium,30049.28293445324,silver,19839.79452,0
27162,38,M,0.0,72,62026,0,1,Rent,80030,8/29/2015,Saturday,Parking Lot,16,0.0,89,Broker,0,0.0,4,Large,15000.0,blue,16896.32439,0
29422,40,F,1.0,71,47142,1,1,Rent,80022,12/15/2016,Thursday,Parking Lot,0,0.0,93,Broker,1,1058.18,1,Compact,15000.0,silver,38849.62585,0
12544,38,M,1.0,67,48671,0,0,Rent,80001,7/5/2016,Tuesday,Parking Lot,0,0.0,0,Broker,1,0.0,1,Large,43718.8338038274,blue,16402.630530000002,0
28871,51,F,1.0,81,39424,1,0,Own,50039,2/26/2016,Friday,Local,1,0.0,90,Phone,0,0.0,1,Compact,34810.26708980677,silver,21411.79046,0
23077,73,M,0.0,76,107972,1,1,Own,20140,7/3/2015,Friday,Highway,3,0.0,52,Broker,0,0.0,1,Large,15000.0,red,25000.65622,0
13175,47,M,1.0,70,102792,1,0,Rent,20136,7/26/2015,Sunday,Local,0,0.0,96,Phone,1,38.32,2,Compact,28495.04403946157,gray,9515.752573,0
29561,66,M,1.0,75,30894,1,0,Own,85004,2/2/2015,Monday,Local,15,1.0,59,Phone,1,4474.78,15,Large,45468.96228325576,white,29947.125760000003,0
5737,71,F,0.0,70,101118,0,1,Rent,20112,10/18/2015,Sunday,Highway,10,1.0,94,Phone,0,0.0,10,Medium,15000.0,blue,11045.57161,0
19917,51,F,1.0,88,45460,0,1,Rent,50055,4/11/2016,Monday,Highway,0,0.0,69,Broker,0,0.0,1,Medium,41127.01276996092,red,48040.93543,0
23903,44,M,1.0,72,109524,0,1,Own,85022,6/19/2016,Sunday,Local,0,0.0,1,Broker,0,3991.86,7,Medium,32524.28236294432,silver,37431.8213,1
28932,22,F,1.0,92,55475,1,1,Rent,50008,5/13/2015,Wednesday,Highway,11,1.0,53,Online,1,0.0,5,Medium,15000.0,blue,19550.39645,0
8884,39,M,1.0,74,64578,1,1,Own,50006,12/9/2015,Wednesday,Local,0,0.0,50,Phone,0,927.53,1,Large,15000.0,gray,30192.65953,0
27020,42,F,1.0,91,54244,1,1,Rent,20108,12/6/2016,Tuesday,Highway,4,0.0,50,Broker,1,0.0,1,Large,15000.0,black,13899.01434,1
12690,49,F,0.0,71,79289,1,0,Own,85004,5/8/2015,Friday,Local,0,0.0,9,Broker,1,0.0,1,Compact,36886.06503078043,black,19582.42969,0
22732,34,M,1.0,69,73910,1,1,Rent,15007,1/1/2016,Friday,Highway,0,1.0,49,Broker,1,4991.22,1,Compact,15000.0,silver,22542.57158,0
29682,55,F,0.0,93,52414,1,0,Own,50021,11/9/2016,Wednesday,Local,10,0.0,78,Broker,1,1945.69,1,Compact,15000.0,red,8954.550535,1
27029,79,M,1.0,78,110408,1,0,Own,15032,7/16/2016,Saturday,Parking Lot,0,0.0,50,Broker,1,3125.3,1,Compact,30797.66561789796,black,30745.5594,0
24547,51,F,1.0,90,122405,1,0,Rent,50048,6/3/2016,Friday,Local,0,0.0,11,Broker,1,0.0,1,Compact,15000.0,red,10424.28059,0
16684,41,F,0.0,92,48621,1,0,Own,85074,5/27/2016,Friday,Parking Lot,0,0.0,93,Broker,1,2906.37,1,Compact,32511.790462222983,white,18163.59852,0
242,51,M,1.0,63,40974,1,1,Own,50036,7/5/2015,Sunday,Parking Lot,0,0.0,80,Broker,1,0.0,1,Compact,46239.05546284055,silver,19582.85249,0
12620,63,M,0.0,84,38362,1,0,Own,50001,2/4/2015,Wednesday,Local,0,1.0,50,Phone,0,0.0,1,Compact,39308.70004331959,red,25175.50102,0
27647,59,M,1.0,74,46632,1,0,Own,50037,9/29/2015,Tuesday,Highway,0,0.0,0,Phone,0,0.0,1,Large,15000.0,red,27991.71405,0
25276,53,M,1.0,90,61517,1,0,Own,50025,1/22/2015,Thursday,Local,12,1.0,92,Broker,0,0.0,5,Medium,93467.80536220803,red,41028.97196,0
15572,41,M,1.0,85,35052,0,1,Own,80014,2/4/2016,Thursday,Parking Lot,0,0.0,85,Broker,0,0.0,1,Medium,76030.70474467074,blue,15280.73673,0
21441,31,M,1.0,83,122994,0,0,Rent,15010,2/18/2015,Wednesday,Local,29,0.0,74,Phone,0,0.0,1,Compact,15000.0,other,25761.92261,0
19379,20,F,0.0,51,97457,1,1,Rent,20147,11/8/2016,Tuesday,Local,1,0.0,21,Online,1,2641.31,1,Medium,15734.611140667588,blue,24783.04768,0
1953,25,M,1.0,57,103518,1,0,Rent,20160,9/10/2016,Saturday,Local,0,0.0,97,Phone,1,0.0,1,Large,15000.0,red,56358.56017999999,0
10744,53,M,0.0,66,112493,0,1,Own,80016,10/22/2015,Thursday,Local,0,0.0,17,Broker,0,7453.95,17,Medium,26291.964830756697,red,15051.53603,0
6258,41,F,1.0,79,85908,1,1,Own,20163,11/6/2015,Friday,Local,2,0.0,32,Phone,0,0.0,1,Large,42095.64284368455,blue,15188.90454,0
1595,29,M,0.0,75,46106,0,1,Rent,80025,3/4/2016,Friday,Highway,0,0.0,93,Online,0,6982.86,3,Large,15146.493456715594,blue,38367.38199,0
16943,43,M,0.0,86,84198,1,1,Own,50007,11/13/2016,Sunday,Parking Lot,0,0.0,41,Broker,0,0.0,1,Large,54869.82376669555,gray,49370.07231,0
1985,32,F,1.0,87,66261,1,0,Rent,85032,10/22/2015,Thursday,Highway,0,1.0,43,Broker,1,1231.27,1,Large,15000.0,gray,17890.90176,0
25192,40,M,0.0,71,46459,1,0,Rent,80023,3/24/2015,Tuesday,Local,12,0.0,82,Online,1,2619.18,1,Large,15000.0,blue,32263.193860000003,0
10873,33,F,0.0,78,38415,1,0,Rent,80010,3/7/2015,Saturday,Parking Lot,0,0.0,20,Broker,1,0.0,5,Medium,15000.0,silver,13584.60307,0
26459,52,F,0.0,92,76708,1,1,Own,80034,8/7/2016,Sunday,Local,0,1.0,20,Broker,1,13185.68,11,Medium,70380.82108476112,gray,6121.869612,0
1043,61,M,1.0,92,84717,1,1,Rent,20147,10/22/2015,Thursday,Parking Lot,5,1.0,8,Broker,1,4197.7,7,Compact,15000.0,silver,36246.50513,0
28333,41,F,0.0,71,57724,1,1,Rent,85034,3/8/2016,Tuesday,Highway,0,1.0,51,Broker,1,4539.9,1,Medium,15000.0,other,36218.34643,0
20855,40,F,1.0,77,44840,1,0,Own,15035,3/18/2015,Wednesday,Local,0,0.0,4,Phone,1,3182.42,1,Medium,38267.9121874056,silver,4825.85757,0
21360,34,M,0.0,64,75285,1,1,Own,50013,6/14/2015,Sunday,Local,0,1.0,50,Broker,1,5209.49,1,Compact,47636.52034087939,gray,14494.83609,0
1784,25,F,1.0,91,113543,0,1,Rent,80030,6/6/2016,Monday,Parking Lot,0,1.0,1,Online,0,405.44,7,Compact,21977.3574959566,other,9360.960445,0
63,47,M,1.0,79,31073,0,0,Rent,50036,4/20/2016,Wednesday,Local,0,0.0,62,Broker,0,0.0,2,Compact,15000.0,gray,18564.19126,1
1,46,M,1.0,85,36274,1,1,Rent,80006,12/16/2016,Friday,Local,2,0.0,74,Broker,0,0.0,4,Compact,15000.0,white,16161.33381,0
18770,45,F,1.0,68,117708,0,0,Own,50044,10/8/2016,Saturday,Local,8,0.0,89,Broker,0,0.0,8,Large,15000.0,red,27809.16711,1
3463,50,M,1.0,81,58209,1,0,Rent,20141,9/21/2016,Wednesday,Local,0,0.0,48,Broker,1,0.0,1,Medium,16748.84858634196,red,23767.17852,0
14035,34,F,1.0,55,85531,1,1,Rent,80024,10/31/2016,Monday,Highway,0,0.0,50,Phone,1,0.0,1,Medium,15000.0,white,17048.200230000002,0
12790,47,F,1.0,25,95306,1,0,Rent,20155,9/26/2015,Saturday,Local,0,0.0,1,Phone,0,0.0,1,Large,54175.37808415589,blue,10202.53518,0
18374,45,M,1.0,77,90210,1,1,Own,50047,10/12/2016,Wednesday,Highway,10,0.0,99,Broker,0,0.0,1,Large,38378.24045477507,red,30341.72054,0
26882,45,F,1.0,74,108069,1,1,Own,20140,9/20/2016,Tuesday,Highway,6,1.0,100,Broker,1,0.0,1,Compact,34479.24805318885,other,16019.36832,1
2145,71,F,1.0,88,86200,1,1,Own,15014,10/3/2015,Saturday,Highway,0,0.0,29,Online,0,4749.94,1,Large,15000.0,red,34579.75368,0
24129,44,M,1.0,89,116637,0,0,Rent,80021,1/24/2015,Saturday,Highway,3,1.0,93,Broker,0,4193.34,7,Large,64585.52558117424,other,15347.05517,0
5853,69,F,1.0,97,94279,0,0,Own,15043,7/12/2015,Sunday,Local,13,1.0,97,Broker,1,0.0,9,Compact,22239.917411901373,blue,60476.37034,0
3666,29,F,1.0,79,113230,0,1,Rent,15033,8/13/2016,Saturday,Local,0,0.0,31,Online,0,0.0,2,Compact,18348.94249542145,silver,20707.49143,0
11607,59,M,1.0,73,36142,1,0,Own,50047,5/6/2016,Friday,Local,3,0.0,76,Broker,0,8738.6,1,Large,32637.942695096004,black,35050.175760000006,0
29593,30,M,1.0,80,83651,1,0,Own,50029,11/11/2016,Friday,Local,19,0.0,53,Phone,1,2361.04,1,Large,77469.64111094261,other,35279.73791,0
606,51,F,1.0,76,83175,0,0,Rent,85078,11/30/2015,Monday,Highway,0,0.0,87,Phone,0,0.0,1,Compact,15000.0,other,20057.86217,0
14743,43,F,1.0,78,92100,1,1,Rent,80033,8/31/2015,Monday,Parking Lot,11,0.0,25,Broker,0,0.0,1,Medium,15000.0,gray,6988.638747,0
13061,46,F,1.0,73,112123,1,1,Own,80016,4/2/2015,Thursday,Highway,0,0.0,23,Phone,1,4914.97,1,Medium,15000.0,other,34779.09257,0
2272,46,M,1.0,45,51970,0,1,Own,85066,1/11/2015,Sunday,Highway,16,1.0,40,Phone,1,0.0,11,Compact,15000.0,blue,31712.44366,0
1879,37,F,1.0,66,77801,0,1,Rent,20135,2/19/2015,Thursday,Local,0,1.0,84,Broker,1,0.0,5,Medium,72553.44754135596,red,19325.83466,0
17684,39,F,1.0,70,47523,0,1,Own,20101,9/8/2015,Tuesday,Local,2,0.0,25,Broker,0,3465.36,2,Medium,15000.0,other,30553.11315,0
3039,72,M,1.0,87,92998,1,0,Own,20107,3/14/2015,Saturday,Local,8,0.0,86,Phone,0,8252.23,1,Compact,15000.0,silver,21680.56243,0
21431,40,F,1.0,87,101200,0,1,Own,80022,8/27/2015,Thursday,Local,1,1.0,97,Phone,0,0.0,1,Large,15000.0,silver,14379.80022,0
27420,38,M,1.0,88,38937,1,1,Own,50009,4/22/2015,Wednesday,Local,0,1.0,50,Phone,1,2136.03,1,Large,15000.0,black,12299.16044,0
14738,51,F,1.0,72,93542,1,1,Rent,15006,1/27/2015,Tuesday,Highway,15,0.0,70,Broker,1,2533.94,16,Medium,15000.0,black,22098.63506,0
11727,33,F,1.0,60,93977,0,0,Own,15012,8/28/2016,Sunday,Local,0,0.0,39,Broker,1,0.0,1,Medium,15000.0,black,15689.38745,0
1029,30,F,0.0,47,114486,1,0,Rent,85026,12/14/2015,Monday,Local,0,0.0,19,Broker,0,0.0,11,Medium,15000.0,other,20901.19198,0
18180,33,F,1.0,75,112643,0,1,Rent,50022,11/26/2015,Thursday,Parking Lot,4,0.0,27,Phone,0,2859.32,1,Medium,33524.642659472025,silver,32747.282260000004,1
25401,60,F,1.0,84,86735,0,1,Own,20132,12/9/2016,Friday,Local,0,0.0,15,Online,1,0.0,1,Compact,17870.157280020034,black,50748.09489,0
28982,29,M,1.0,85,35401,1,1,Rent,80028,5/19/2016,Thursday,Local,0,0.0,91,Online,1,3239.7,1,Large,38738.87803640395,other,23513.49284,0
23485,30,F,0.0,90,112956,0,0,Own,20116,5/27/2016,Friday,Highway,0,1.0,84,Broker,1,0.0,3,Compact,15000.0,gray,23613.53582,1
6544,28,F,0.0,67,43495,0,0,Rent,85073,9/18/2016,Sunday,Local,0,0.0,31,Online,1,1519.69,1,Compact,23743.396893307126,gray,13396.77122,0
7525,42,M,1.0,66,104038,0,1,Rent,85035,7/2/2015,Thursday,Parking Lot,8,0.0,21,Phone,1,2935.64,1,Large,15000.0,black,23333.29471,0
4222,30,M,0.0,49,62610,0,1,Own,80031,9/13/2016,Tuesday,Local,4,0.0,11,Broker,0,5573.52,1,Compact,53669.72852348398,gray,28248.26454,0
9758,64,M,1.0,68,37483,1,0,Rent,15055,6/29/2016,Wednesday,Parking Lot,5,0.0,12,Broker,1,0.0,1,Medium,15000.0,gray,11710.89052,0
1942,57,F,1.0,88,62240,1,1,Own,85061,8/18/2015,Tuesday,Parking Lot,16,0.0,91,Phone,0,8539.73,1,Compact,28001.30192195768,white,25061.94165,0
12494,44,M,1.0,80,114167,0,0,Own,85022,3/26/2015,Thursday,Local,1,0.0,63,Broker,1,7821.97,10,Large,15000.0,gray,11097.80885,0
8328,40,F,1.0,88,100820,1,0,Own,20124,11/7/2015,Saturday,Parking Lot,16,0.0,26,Broker,0,0.0,2,Large,15000.0,white,17269.80254,0
3450,68,F,1.0,73,99508,1,0,Own,15012,4/28/2016,Thursday,Parking Lot,0,0.0,3,Broker,1,2774.7,1,Large,15000.0,silver,28998.80602,0
17412,43,F,1.0,47,95621,0,1,Own,20119,5/2/2015,Saturday,Local,0,1.0,87,Broker,1,6892.43,1,Compact,34690.19126295639,other,16877.106359999998,0
24874,40,M,1.0,74,81258,0,1,Own,80045,12/6/2015,Sunday,Highway,0,0.0,18,Online,0,5944.99,1,Large,15000.0,white,13891.95007,0
14432,35,F,0.0,95,60896,1,1,Own,15010,10/3/2016,Monday,Local,5,0.0,62,Broker,1,0.0,3,Large,15000.0,other,14680.33702,0
26174,43,F,1.0,68,60756,1,1,Own,15001,5/7/2016,Saturday,Parking Lot,0,0.0,99,Broker,1,0.0,2,Compact,37926.01758443484,white,17616.26402,0
14659,46,M,1.0,96,43039,1,1,Own,85038,9/7/2015,Monday,Local,3,0.0,99,Phone,0,0.0,3,Medium,15000.0,blue,7046.278133,0
12831,34,M,1.0,72,94085,1,1,Rent,50011,1/14/2015,Wednesday,Parking Lot,9,0.0,80,Broker,1,2391.24,1,Compact,21227.58445134734,other,12552.77536,0
26083,52,F,1.0,91,74209,1,0,Own,85069,11/26/2015,Thursday,Parking Lot,8,0.0,29,Broker,1,9118.8,1,Large,15000.0,silver,10999.86142,0
16458,44,F,0.0,89,120381,1,0,Own,80006,6/22/2015,Monday,Parking Lot,0,0.0,38,Broker,0,0.0,1,Compact,44854.91536512194,blue,22103.03012,0
12481,62,M,1.0,73,65761,1,1,Rent,80024,3/7/2016,Monday,Local,4,0.0,94,Broker,1,0.0,2,Compact,76289.26670922447,other,23732.64087,0
4527,55,M,1.0,76,108677,1,0,Own,50005,2/28/2016,Sunday,Local,1,0.0,28,Broker,0,612.24,16,Large,15000.0,white,37774.49619,0
21997,39,F,1.0,55,107771,0,0,Own,50027,7/21/2016,Thursday,Highway,1,0.0,32,Broker,0,0.0,4,Medium,15000.0,gray,24313.52106,0
414,46,F,1.0,78,91386,0,1,Rent,20103,1/9/2015,Friday,Local,0,1.0,74,Broker,1,5231.12,12,Large,15143.452376967813,white,20253.06789,0
20428,24,M,1.0,92,65716,1,1,Rent,15035,10/13/2016,Thursday,Local,5,0.0,0,Online,0,17488.36,1,Medium,93561.49283295324,silver,24715.09919,0
9368,47,F,0.0,81,57831,0,1,Rent,20105,7/10/2015,Friday,Parking Lot,0,0.0,0,Phone,0,195.33,1,Medium,30326.628402775288,gray,12453.96908,0
18511,26,F,0.0,45,122736,1,0,Rent,15026,6/19/2015,Friday,Local,0,0.0,25,Online,0,1226.26,3,Medium,15000.0,red,26357.9944,0
15825,49,F,1.0,93,118266,1,0,Own,50022,4/20/2015,Monday,Highway,2,0.0,24,Broker,1,0.0,2,Medium,69967.46358066742,white,25122.94737,0
3955,48,M,1.0,40,111520,1,1,Own,20105,6/6/2016,Monday,Parking Lot,0,0.0,72,Online,1,4624.43,2,Compact,33456.72686198321,gray,43376.55171,0
22776,58,M,1.0,76,111968,0,1,Own,50001,5/7/2015,Thursday,Local,0,1.0,50,Phone,1,6647.59,1,Compact,69281.02191084017,gray,22882.69427,0
22283,54,F,0.0,65,57240,1,0,Own,50012,3/2/2015,Monday,Highway,0,0.0,72,Phone,1,2129.28,11,Large,15000.0,black,28857.86927,0
8465,44,M,0.0,84,75456,1,1,Rent,15024,5/18/2015,Monday,Local,1,0.0,27,Phone,0,9215.45,1,Medium,15000.0,gray,30369.47731,0
7386,46,F,0.0,83,30145,1,0,Rent,20117,5/16/2016,Monday,Local,15,0.0,95,Phone,1,0.0,1,Large,15000.0,other,39521.14342,0
15169,56,F,1.0,87,39377,1,1,Rent,85070,1/17/2015,Saturday,Parking Lot,10,0.0,54,Broker,0,1914.78,1,Large,22277.09149996465,red,17195.11604,0
26112,32,F,0.0,38,71247,1,1,Own,15009,12/24/2015,Thursday,Local,0,1.0,91,Online,1,0.0,7,Compact,15000.0,blue,17268.51084,0
28388,41,F,0.0,83,30434,1,0,Own,15022,4/16/2016,Saturday,Highway,18,0.0,96,Phone,1,2310.53,1,Compact,40315.8084808396,gray,10111.22646,0
23090,42,F,1.0,88,51015,0,1,Own,50039,10/19/2015,Monday,Local,0,0.0,0,Broker,1,4972.67,1,Compact,35036.80537560762,red,39875.05038,0
15253,41,M,1.0,74,122083,1,1,Own,20101,1/27/2016,Wednesday,Parking Lot,0,0.0,98,Phone,0,1784.01,1,Medium,15000.0,black,28486.68409,1
18199,53,F,0.0,80,53894,1,0,Rent,15009,7/14/2016,Thursday,Parking Lot,0,0.0,94,Phone,0,52.31,10,Large,65369.26863992844,blue,18103.42875,0
22921,30,M,0.0,74,89826,1,0,Own,20124,8/22/2016,Monday,Local,0,0.0,95,Broker,0,3138.6,1,Large,28986.93913689199,other,17893.65338,0
2289,32,F,0.0,46,90273,0,1,Own,50013,9/12/2015,Saturday,Parking Lot,10,0.0,0,Broker,1,4401.93,1,Large,32321.405786852483,red,40814.65935,1
15371,81,F,1.0,75,68724,1,1,Own,85048,10/9/2015,Friday,Highway,0,0.0,79,Phone,0,4508.23,12,Large,41463.23945269706,red,8039.369304999999,0
13743,66,F,1.0,70,71288,1,1,Own,15050,9/3/2016,Saturday,Highway,0,0.0,9,Phone,1,3541.77,3,Compact,43024.68969092975,gray,27808.89881,1
16665,44,F,1.0,90,120776,0,1,Own,15003,8/7/2015,Friday,Parking Lot,21,0.0,64,Phone,1,0.0,1,Compact,15000.0,red,6562.340158,0
24930,32,M,1.0,62,50420,1,1,Own,20115,12/16/2016,Friday,Parking Lot,0,0.0,24,Broker,1,0.0,1,Compact,15000.0,black,17014.59459,0
5322,28,F,1.0,89,69749,1,1,Rent,20120,7/7/2015,Tuesday,Local,9,1.0,24,Phone,1,0.0,1,Medium,15000.0,other,22156.69298,0
15833,49,M,0.0,62,52430,0,0,Rent,80033,1/28/2016,Thursday,Local,12,1.0,72,Phone,1,6619.23,5,Large,15000.0,other,24158.26732,0
7916,42,F,1.0,89,73240,0,0,Own,80028,6/20/2016,Monday,Local,0,0.0,56,Online,1,6739.86,1,Large,15000.0,other,24906.19921,0
11431,40,F,1.0,59,50359,1,1,Own,85078,6/5/2015,Friday,Parking Lot,1,0.0,88,Phone,1,0.0,1,Medium,31962.717594232658,gray,23014.50875,0
17356,53,M,0.0,61,46141,1,0,Rent,85071,11/19/2016,Saturday,Local,0,0.0,50,Broker,0,0.0,1,Compact,15000.0,red,24659.59808,1
29888,33,F,1.0,58,39922,1,0,Rent,20118,12/19/2015,Saturday,Parking Lot,0,0.0,96,Broker,1,0.0,12,Large,33465.1104123142,red,19406.68131,0
1524,63,F,1.0,73,116146,1,1,Own,85025,9/7/2015,Monday,Parking Lot,0,0.0,50,Broker,0,0.0,1,Compact,15000.0,blue,14655.0972,0
14922,51,M,1.0,51,33334,1,1,Rent,50021,8/1/2016,Monday,Local,14,0.0,78,Phone,1,4157.83,9,Large,15000.0,other,41640.17949,1
14086,60,M,1.0,97,90831,1,0,Own,50055,6/27/2016,Monday,Local,0,0.0,74,Broker,1,6049.96,1,Medium,15000.0,gray,36069.637,0
19899,53,F,1.0,75,58268,1,0,Rent,20139,10/26/2016,Wednesday,Parking Lot,2,0.0,7,Broker,1,0.0,1,Large,36685.66588634715,black,8129.09718,0
